name,ID, time,latitude,longitude,value,units,range
First Responder Group Leader,leader_1,2020-05-19 14:06:24.589692Z,37.544235,-77.44859,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:24.589692Z,37.54043,-77.44223,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:25.589692Z,37.544235,-77.44859,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:25.589692Z,37.540425,-77.44223,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:26.589692Z,37.54421,-77.44858,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:26.589692Z,37.540425,-77.44223,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:27.589692Z,37.54422,-77.44857,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:27.589692Z,37.540425,-77.44223,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:28.589692Z,37.54422,-77.448575,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:28.589692Z,37.54044,-77.44223,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:29.589692Z,37.54421,-77.448565,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:29.589692Z,37.54043,-77.442235,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:30.589692Z,37.54421,-77.448555,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:30.589692Z,37.540435,-77.442235,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:31.589692Z,37.54422,-77.44856,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:31.589692Z,37.54044,-77.44222,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:32.589692Z,37.544225,-77.44857,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:32.589692Z,37.54043,-77.44223,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:33.589692Z,37.544235,-77.448575,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:33.589692Z,37.54044,-77.44223,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:34.589692Z,37.544255,-77.448585,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:34.589692Z,37.54044,-77.442225,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:35.589692Z,37.544275,-77.448575,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:35.589692Z,37.54042,-77.442235,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:36.589692Z,37.544285,-77.44857,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:36.589692Z,37.540425,-77.442235,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:37.589692Z,37.54431,-77.44857,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:37.589692Z,37.54043,-77.442225,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:38.589692Z,37.54431,-77.44855,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:38.589692Z,37.54044,-77.44223,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:39.589692Z,37.5443,-77.448545,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:39.589692Z,37.54043,-77.44224,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:40.589692Z,37.544295,-77.448565,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:40.589692Z,37.540425,-77.44223,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:41.589692Z,37.54431,-77.448565,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:41.589692Z,37.540435,-77.44224,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:42.589692Z,37.54432,-77.448555,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:42.589692Z,37.540435,-77.44224,"I see 12 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:43.589692Z,37.544295,-77.448545,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:43.589692Z,37.54043,-77.44223,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:44.589692Z,37.5443,-77.44856,"I see 8 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:44.589692Z,37.54043,-77.44222,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:45.589692Z,37.544275,-77.448535,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:45.589692Z,37.540425,-77.44224,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:46.589692Z,37.544265,-77.448555,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:46.589692Z,37.54042,-77.442235,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:47.589692Z,37.5443,-77.44855,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:47.589692Z,37.54042,-77.442225,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:48.589692Z,37.54429,-77.448555,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:48.589692Z,37.540435,-77.442235,"I see 11 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:49.589692Z,37.54427,-77.448565,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:49.589692Z,37.54043,-77.442235,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:50.589692Z,37.54428,-77.44855,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:50.589692Z,37.54043,-77.442235,"I see 9 people, Over",text,MEDIUM
First Responder Group Leader,leader_1,2020-05-19 14:06:51.589692Z,37.544285,-77.448555,"I see 10 people, Over",text,MEDIUM
First Responder Group Leader,leader_2,2020-05-19 14:06:51.589692Z,37.54042,-77.44223,"I see 8 people, Over",text,MEDIUM
