type, ID, time, latitude, longitude,value,units,,range
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:24.589692Z,37.544235,-77.44859,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:24.589692Z,37.54043,-77.44223,120,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:24.589692Z,37.5371,-77.436605,120,beats per minute,,HIGH
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:24.589692Z,37.532015,-77.428375,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:24.589692Z,37.527973,-77.419525,115,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:24.589692Z,37.523716,-77.41441,87,beats per minute,,LOW
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:24.589692Z,37.51875,-77.410555,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:24.589692Z,37.524286,-77.434415,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:24.589692Z,37.526165,-77.444295,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:24.589692Z,37.522604,-77.44149,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:24.589692Z,37.533146,-77.43502,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:24.589692Z,37.533382,-77.421635,90,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:24.589692Z,37.534922,-77.426476,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:24.589692Z,37.542745,-77.437125,99,beats per minute,,LOW
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:24.589692Z,37.528038,-77.412974,111,beats per minute,,HIGH
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:24.589692Z,37.536485,-77.414215,113,beats per minute,,HIGH
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:24.589692Z,37.541068,-77.42137,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:24.589692Z,37.543954,-77.431755,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:24.589692Z,37.518302,-77.43095,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:24.589692Z,37.51709,-77.43992,106,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:25.589692Z,37.544235,-77.44859,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:25.589692Z,37.540425,-77.44223,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:25.589692Z,37.537085,-77.43662,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:25.589692Z,37.532025,-77.42838,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:25.589692Z,37.527983,-77.41953,90,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:25.589692Z,37.523716,-77.41443,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:25.589692Z,37.518745,-77.41057,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:25.589692Z,37.524291,-77.43441,80,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:25.589692Z,37.52618,-77.444295,88,beats per minute,,LOW
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:25.589692Z,37.522599,-77.441495,113,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:25.589692Z,37.533151,-77.43503,100,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:25.589692Z,37.533382,-77.421635,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:25.589692Z,37.534902,-77.426481,107,beats per minute,,HIGH
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:25.589692Z,37.542735,-77.43711,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:25.589692Z,37.528038,-77.412974,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:25.589692Z,37.53648,-77.414205,116,beats per minute,,HIGH
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:25.589692Z,37.541063,-77.421365,101,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:25.589692Z,37.543954,-77.431765,93,beats per minute,,LOW
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:25.589692Z,37.518302,-77.43094,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:25.589692Z,37.51708,-77.4399,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:26.589692Z,37.54421,-77.44858,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:26.589692Z,37.540425,-77.44223,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:26.589692Z,37.537085,-77.436605,93,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:26.589692Z,37.53201,-77.428375,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:26.589692Z,37.527973,-77.419535,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:26.589692Z,37.523706,-77.414425,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:26.589692Z,37.51874,-77.410555,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:26.589692Z,37.524296,-77.434415,87,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:26.589692Z,37.526165,-77.444285,87,beats per minute,,LOW
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:26.589692Z,37.522594,-77.441505,94,beats per minute,,LOW
